10/16 12:42:33.469  COMBAT_LOG_VERSION,9,ADVANCED_LOG_ENABLED,1,BUILD_VERSION,3.4.0,PROJECT_ID,11
10/16 12:43:35.890  SPELL_AURA_REMOVED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x10512,0x0,53563,"Beacon of Light",0x2,BUFF
10/16 12:43:35.890  SPELL_AURA_REMOVED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x10512,0x0,58597,"Sacred Shield",0x2,BUFF
10/16 12:43:35.890  SPELL_DISPEL,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x10512,0x0,8012,"Purge",0x8,53563,"Beacon of Light",2,BUFF
10/16 12:43:35.890  SPELL_DISPEL,Player-4476-043F3626,"Jungledck-Gehennas",0x548,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x10512,0x0,8012,"Purge",0x8,58597,"Sacred Shield",2,BUFF
10/16 12:43:36.207  SPELL_CAST_SUCCESS,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,Player-4476-043F3626,"Jungledck-Gehennas",0x10548,0x0,11578,"Charge",0x1,Player-4811-0381F1C0,0000000000000000,96,100,3856,0,13334,1,202,1000,0,6252.87,244.73,0,2.4936,207
10/16 12:43:36.207  SPELL_AURA_APPLIED,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,65156,"Juggernaut",0x1,BUFF
10/16 12:43:36.207  SPELL_AURA_APPLIED,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,Player-4476-043F3626,"Jungledck-Gehennas",0x10548,0x0,7922,"Charge Stun",0x1,DEBUFF
10/16 12:43:36.207  SPELL_AURA_REMOVED_DOSE,Player-4476-043F3626,"Jungledck-Gehennas",0x10548,0x0,Player-4476-043F3626,"Jungledck-Gehennas",0x10548,0x0,49281,"Lightning Shield",0x8,BUFF,2
10/16 12:43:36.207  SPELL_DAMAGE,Player-4476-043F3626,"Jungledck-Gehennas",0x10548,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,49279,"Lightning Shield",0x8,Player-4811-0381F1C0,0000000000000000,93,100,3856,0,13334,1,246,1000,0,6252.87,244.73,0,2.4936,207,802,802,-1,8,0,0,0,nil,nil,nil
10/16 12:43:36.806  SPELL_AURA_REMOVED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,60479,"Forge Ember",0x1,BUFF
10/16 12:43:36.940  SPELL_CAST_START,Player-4476-045C7252,"Notyourlock-Gehennas",0x548,0x0,0000000000000000,nil,0x80000000,0x80000000,27215,"Immolate",0x4
10/16 12:43:37.290  SPELL_CAST_SUCCESS,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4476-043F3626,"Jungledck-Gehennas",0x10548,0x0,20271,"Judgement of Light",0x2,Player-4811-036B0F06,0000000000000000,100,100,1102,1538,19409,0,16049,18109,219,6266.72,243.67,0,2.3248,200
10/16 12:43:37.290  SPELL_AURA_APPLIED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4476-043F3626,"Jungledck-Gehennas",0x10548,0x0,20185,"Judgement of Light",0x2,DEBUFF
10/16 12:43:37.290  SPELL_AURA_BROKEN_SPELL,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4476-043F3626,"Jungledck-Gehennas",0x10548,0x0,546,"Water Walking",0x8,54158,"Judgement",2,BUFF
10/16 12:43:37.290  SPELL_AURA_REMOVED,Player-4476-043F3626,"Jungledck-Gehennas",0x10548,0x0,Player-4476-043F3626,"Jungledck-Gehennas",0x10548,0x0,546,"Water Walking",0x8,BUFF
10/16 12:43:37.290  SPELL_DAMAGE,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4476-043F3626,"Jungledck-Gehennas",0x10548,0x0,54158,"Judgement",0x2,Player-4476-043F3626,0000000000000000,97,100,334,2213,13722,0,11280,12921,0,6249.85,269.20,0,4.9559,201,589,612,-1,2,0,0,0,nil,nil,nil
10/16 12:43:37.290  SPELL_AURA_APPLIED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,54153,"Judgements of the Pure",0x2,BUFF
10/16 12:43:37.290  SPELL_PERIODIC_HEAL,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,20267,"Judgement of Light",0x2,Player-4811-036B0F06,0000000000000000,100,100,1102,1538,19409,0,15830,18109,0,6266.72,243.67,0,2.3248,200,347,347,347,0,nil
10/16 12:43:37.290  SPELL_AURA_REFRESH,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,54153,"Judgements of the Pure",0x2,BUFF
10/16 12:43:37.290  SPELL_PERIODIC_HEAL,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,20267,"Judgement of Light",0x2,Player-4811-036B0F06,0000000000000000,100,100,1102,1538,19409,0,15830,18109,0,6266.72,243.67,0,2.3248,200,347,347,347,0,nil
10/16 12:43:37.290  SPELL_PERIODIC_ENERGIZE,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,20168,"Seal of Wisdom",0x2,Player-4811-036B0F06,0000000000000000,100,100,1102,1538,19409,0,16555,18109,0,6266.72,243.67,0,2.3248,200,725.0000,0.0000,0,18109
10/16 12:43:37.373  SPELL_CAST_FAILED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,0000000000000000,nil,0x80000000,0x80000000,20271,"Judgement of Light",0x2,"Not yet recovered"
10/16 12:43:37.473  SPELL_AURA_REMOVED,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,Player-4476-043F3626,"Jungledck-Gehennas",0x10548,0x0,7922,"Charge Stun",0x1,DEBUFF
10/16 12:43:37.540  SPELL_CAST_SUCCESS,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,Player-4476-043F3626,"Jungledck-Gehennas",0x10548,0x0,47465,"Rend",0x1,Player-4811-0381F1C0,0000000000000000,93,100,3856,0,13334,1,246,1000,100,6248.14,270.28,0,6.1033,207
10/16 12:43:37.540  SPELL_AURA_APPLIED,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,Player-4476-043F3626,"Jungledck-Gehennas",0x10548,0x0,47465,"Rend",0x1,DEBUFF
10/16 12:43:37.657  SPELL_CAST_SUCCESS,Player-4476-043F3626,"Jungledck-Gehennas",0x10548,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,8012,"Purge",0x8,Player-4476-043F3626,0000000000000000,97,100,334,2213,13722,0,11296,12921,351,6249.85,269.20,0,3.4872,201
10/16 12:43:37.657  SPELL_AURA_REMOVED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,20217,"Blessing of Kings",0x2,BUFF
10/16 12:43:37.657  SPELL_AURA_REMOVED,Player-4811-036B0F06,"Alexpals-Giantstalker",0x511,0x0,Player-4811-0381F1C0,"Sperge-Giantstalker",0x512,0x0,53601,"Sacred Shield",0x2,BUFF
